127.0.0.1 - - [04/May/2021:11:46:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/May/2021:11:46:43 +0900] "GET /week10_20185135/week10_work01_main.jsp HTTP/1.1" 500 2818
0:0:0:0:0:0:0:1 - - [04/May/2021:11:47:12 +0900] "GET /week10_20185135/week10_work01_main.jsp HTTP/1.1" 500 4801
0:0:0:0:0:0:0:1 - - [04/May/2021:11:48:53 +0900] "GET /week10_20185135/week10_work01_main.jsp HTTP/1.1" 500 2818
0:0:0:0:0:0:0:1 - - [04/May/2021:11:49:52 +0900] "GET /week10_20185135/week10_work01_main.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [04/May/2021:11:50:04 +0900] "GET /week10_20185135/week10_work01_req.jsp?name=%C8%AB%B1%E6%B5%BF&stuNum=20185135&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [04/May/2021:11:50:35 +0900] "GET /week10_20185135/week10_work01_req.jsp?name=%C8%AB%B1%E6%B5%BF&stuNum=20185135&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/May/2021:11:51:12 +0900] "GET /week10_20185135/week10_work01_req.jsp?name=%C8%AB%B1%E6%B5%BF&stuNum=20185135&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [04/May/2021:11:51:59 +0900] "GET /week10_20185135/week10_work01_req.jsp?name=%C8%AB%B1%E6%B5%BF&stuNum=20185135&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [04/May/2021:12:00:35 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 500 4939
0:0:0:0:0:0:0:1 - - [04/May/2021:12:03:11 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 500 7751
0:0:0:0:0:0:0:1 - - [04/May/2021:12:04:35 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 500 2818
0:0:0:0:0:0:0:1 - - [04/May/2021:12:05:16 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 500 7544
0:0:0:0:0:0:0:1 - - [04/May/2021:12:08:27 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [04/May/2021:12:08:37 +0900] "GET /week10_20185135/week10_work02_req.jsp?name=%C8%AB%B1%E6%B5%BF1&stuNum=23404&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [04/May/2021:12:08:57 +0900] "GET /week10_20185135/week10_work02_req.jsp?name=%C8%AB%B1%E6%B5%BF1&stuNum=23404&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [04/May/2021:12:09:39 +0900] "GET /week10_20185135/week10_work02_req.jsp?name=%C8%AB%B1%E6%B5%BF1&stuNum=23404&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [04/May/2021:12:10:07 +0900] "GET /week10_20185135/week10_work02_req.jsp?name=%C8%AB%B1%E6%B5%BF1&stuNum=23404&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [04/May/2021:12:10:38 +0900] "GET /week10_20185135/week10_work02_req.jsp?name=%C8%AB%B1%E6%B5%BF1&stuNum=23404&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [04/May/2021:12:12:27 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [04/May/2021:12:12:32 +0900] "POST /week10_20185135/week10_work02_req.jsp HTTP/1.1" 500 239
0:0:0:0:0:0:0:1 - - [04/May/2021:12:12:39 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [04/May/2021:12:12:49 +0900] "POST /week10_20185135/week10_work02_req.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [04/May/2021:12:14:02 +0900] "GET /week10_20185135/week10_work01_main.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [04/May/2021:12:14:09 +0900] "GET /week10_20185135/week10_work01_req.jsp?name=%A4%B1%A4%A4%A4%B7%A4%A9&stuNum=1234&sex=man&country=%B4%EB%C7%D1%B9%CE%B1%B9 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [04/May/2021:12:14:37 +0900] "GET /week10_20185135/week10_work02_main.jsp HTTP/1.1" 200 670
